■ サマリ：元手100万円, 信用(1.0倍)取引, 2017-04-03〜2019-11-08, SBIスタンダードプラン手数料考慮, 税引前, ロスカット未考慮
Total Profit_s/100: +2,650,748円 (+265.07%)

2017年: +840,094円 (+84.01%)
2018年: +1,901,210円 (+190.12%)
2019年: -90,556円 (-9.06%)

2017年04月: +97,313円 (+9.73%)
2017年05月: +77,849円 (+7.78%)
2017年06月: +74,797円 (+7.48%)
2017年07月: +53,007円 (+5.3%)
2017年08月: +64,483円 (+6.45%)
2017年09月: +80,603円 (+8.06%)
2017年10月: +57,678円 (+5.77%)
2017年11月: +183,863円 (+18.39%)
2017年12月: +150,498円 (+15.05%)
2018年01月: +183,301円 (+18.33%)
2018年02月: +289,852円 (+28.99%)
2018年03月: +219,060円 (+21.91%)
2018年04月: +88,813円 (+8.88%)
2018年05月: +79,195円 (+7.92%)
2018年06月: +111,912円 (+11.19%)
2018年07月: +222,181円 (+22.22%)
2018年08月: +177,044円 (+17.7%)
2018年09月: +98,149円 (+9.81%)
2018年10月: +255,786円 (+25.58%)
2018年11月: +15,196円 (+1.52%)
2018年12月: +160,717円 (+16.07%)
2019年01月: +17,090円 (+1.71%)
2019年02月: +29,066円 (+2.91%)
2019年03月: +70,356円 (+7.04%)
2019年04月: -32,546円 (-3.25%)
2019年05月: -96,573円 (-9.66%)
2019年06月: +17,956円 (+1.8%)
2019年07月: +96,251円 (+9.63%)
2019年08月: -123,309円 (-12.33%)
2019年09月: -38,662円 (-3.87%)
2019年10月: +1,846円 (+0.18%)
2019年11月: -32,033円 (-3.2%)

最大:  2018年02月 +289,852円 (+28.99%)
最小:  2019年08月 -123,309円 (-12.33%)

月平均:  +82,835円 (+8.28%) (32ヶ月)
日平均:  +4,161円 (+0.42%) (637営業日)

