■ サマリ：元手100万円, 信用(1.0倍)取引, 2017-02-17〜2019-11-08, SBIスタンダードプラン手数料考慮, 税引前, ロスカット未考慮
Total Profit_s/100: +2,277,439円 (+227.74%)

2017年: +761,081円 (+76.11%)
2018年: +1,677,672円 (+167.77%)
2019年: -161,314円 (-16.13%)

2017年02月: +9,171円 (+0.92%)
2017年03月: +119,050円 (+11.91%)
2017年04月: +101,670円 (+10.17%)
2017年05月: +43,323円 (+4.33%)
2017年06月: +44,109円 (+4.41%)
2017年07月: +68,658円 (+6.87%)
2017年08月: +49,753円 (+4.98%)
2017年09月: +67,949円 (+6.79%)
2017年10月: +44,716円 (+4.47%)
2017年11月: +96,328円 (+9.63%)
2017年12月: +116,349円 (+11.63%)
2018年01月: +147,178円 (+14.72%)
2018年02月: +302,755円 (+30.28%)
2018年03月: +173,122円 (+17.31%)
2018年04月: +68,278円 (+6.83%)
2018年05月: +97,606円 (+9.76%)
2018年06月: +56,629円 (+5.66%)
2018年07月: +94,394円 (+9.44%)
2018年08月: +77,777円 (+7.78%)
2018年09月: +29,244円 (+2.92%)
2018年10月: +268,815円 (+26.88%)
2018年11月: +31,812円 (+3.18%)
2018年12月: +330,058円 (+33.01%)
2019年01月: +45,438円 (+4.54%)
2019年02月: -14,424円 (-1.44%)
2019年03月: +68,122円 (+6.81%)
2019年04月: -32,546円 (-3.25%)
2019年05月: -45,666円 (-4.57%)
2019年06月: +46,425円 (+4.64%)
2019年07月: -7,838円 (-0.78%)
2019年08月: -113,656円 (-11.37%)
2019年09月: -63,224円 (-6.32%)
2019年10月: -4,085円 (-0.41%)
2019年11月: -39,859円 (-3.99%)

最大:  2018年12月 +330,058円 (+33.01%)
最小:  2019年08月 -113,656円 (-11.37%)

月平均:  +66,983円 (+6.7%) (34ヶ月)
日平均:  +3,414円 (+0.34%) (667営業日)

